accession_version,taxid
NZ_CP017802.1,"IntegerElement(54291, attributes={})"
NZ_CP013923.1,"IntegerElement(32002, attributes={})"
NZ_CP030798.1,"IntegerElement(696485, attributes={})"
NZ_CP034327.1,"IntegerElement(573, attributes={})"
NZ_CP028548.1,"IntegerElement(72407, attributes={})"
NZ_CP032291.1,"IntegerElement(550, attributes={})"
NC_016860.1,"IntegerElement(718274, attributes={})"
NZ_CP027068.2,"IntegerElement(573, attributes={})"
NZ_CP045205.1,"IntegerElement(2653932, attributes={})"
NZ_CP025036.1,"IntegerElement(562, attributes={})"
NZ_CP012640.1,"IntegerElement(1707785, attributes={})"
NZ_CP021776.1,"IntegerElement(2027919, attributes={})"
NZ_CP022784.1,"IntegerElement(305, attributes={})"
NZ_CP005998.1,"IntegerElement(340184, attributes={})"
NZ_CP022792.1,"IntegerElement(305, attributes={})"
NZ_CP008866.1,"IntegerElement(287, attributes={})"
NZ_CP026719.1,"IntegerElement(2027919, attributes={})"
NZ_CP027319.1,"IntegerElement(562, attributes={})"
NZ_CP031798.1,"IntegerElement(573, attributes={})"
NZ_CP007783.1,"IntegerElement(95486, attributes={})"
NZ_CP053581.1,"IntegerElement(28901, attributes={})"
NZ_LR590474.1,"IntegerElement(287, attributes={})"
NZ_CP027104.1,"IntegerElement(562, attributes={})"
NC_022569.1,"IntegerElement(85569, attributes={})"
NZ_CP043835.1,"IntegerElement(303, attributes={})"
NC_006834.1,"IntegerElement(291331, attributes={})"
NZ_LS483454.1,"IntegerElement(2564436, attributes={})"
NZ_CP026379.1,"IntegerElement(28150, attributes={})"
NZ_CP020528.1,"IntegerElement(550, attributes={})"
NZ_CP095766.1,"IntegerElement(489632, attributes={})"
NZ_CP025149.1,"IntegerElement(316, attributes={})"
NZ_CP014099.1,"IntegerElement(624, attributes={})"
NZ_CP014007.1,"IntegerElement(497725, attributes={})"
NZ_CP042645.1,"IntegerElement(562, attributes={})"
NZ_CP018400.1,"IntegerElement(28450, attributes={})"
NZ_LR824639.1,"IntegerElement(2259622, attributes={})"
NZ_CP022083.1,"IntegerElement(292, attributes={})"
NZ_CP103286.1,"IntegerElement(823, attributes={})"
NZ_CP028806.1,"IntegerElement(573, attributes={})"
NZ_CP093016.1,"IntegerElement(287, attributes={})"
NZ_CP048379.1,"IntegerElement(244366, attributes={})"
NZ_CP021764.1,"IntegerElement(1310165, attributes={})"
NZ_CP023499.1,"IntegerElement(57975, attributes={})"
NZ_CP020985.1,"IntegerElement(473423, attributes={})"
NZ_AP014800.1,"IntegerElement(35806, attributes={})"
NZ_CP020452.1,"IntegerElement(490, attributes={})"
NZ_CP032618.1,"IntegerElement(294, attributes={})"
NC_009077.1,"IntegerElement(164757, attributes={})"
NZ_CP050080.1,"IntegerElement(386, attributes={})"
NZ_CP077668.1,"IntegerElement(28901, attributes={})"
NZ_CP013720.1,"IntegerElement(90371, attributes={})"
NZ_CP014979.1,"IntegerElement(1454640, attributes={})"
NZ_CP025049.1,"IntegerElement(287, attributes={})"
NZ_CP102182.1,"IntegerElement(305, attributes={})"
NZ_CP050745.1,"IntegerElement(90371, attributes={})"
NZ_CP111110.1,"IntegerElement(489632, attributes={})"
NZ_CP026939.1,"IntegerElement(562, attributes={})"
NZ_CP050834.1,"IntegerElement(573, attributes={})"
NZ_CP008869.1,"IntegerElement(287, attributes={})"
NZ_CP023641.1,"IntegerElement(300, attributes={})"
NZ_CP052116.1,"IntegerElement(305, attributes={})"
NZ_CP083492.1,"IntegerElement(562, attributes={})"
NZ_CP042615.1,"IntegerElement(562, attributes={})"
NZ_CP018019.1,"IntegerElement(439334, attributes={})"
NZ_CP007784.1,"IntegerElement(95486, attributes={})"
NZ_CP049730.1,"IntegerElement(384, attributes={})"
NZ_CP041322.1,"IntegerElement(624, attributes={})"
NZ_CP020964.1,"IntegerElement(317013, attributes={})"
NZ_CP018352.1,"IntegerElement(573, attributes={})"
NZ_CP007787.1,"IntegerElement(292, attributes={})"
NZ_LR824641.1,"IntegerElement(2259622, attributes={})"
NZ_CP012192.1,"IntegerElement(1678678, attributes={})"
NZ_CP068802.1,"IntegerElement(562, attributes={})"
NZ_CP022053.1,"IntegerElement(40324, attributes={})"
NZ_CP043766.1,"IntegerElement(158836, attributes={})"
NZ_CP025950.2,"IntegerElement(562, attributes={})"
NZ_CP021851.1,"IntegerElement(550, attributes={})"
NZ_CP056910.1,"IntegerElement(546, attributes={})"
NZ_CP022790.1,"IntegerElement(305, attributes={})"
NZ_AP022228.1,"IntegerElement(550, attributes={})"
NC_021173.1,"IntegerElement(1249661, attributes={})"
NZ_CP024548.1,"IntegerElement(573, attributes={})"
NZ_CP050739.1,"IntegerElement(90371, attributes={})"
NZ_CP021902.1,"IntegerElement(2027919, attributes={})"
NZ_CP014982.1,"IntegerElement(1454647, attributes={})"
NZ_CP017723.1,"IntegerElement(1194159, attributes={})"
NZ_CP013730.1,"IntegerElement(1395570, attributes={})"
NZ_CP027602.1,"IntegerElement(573, attributes={})"
NZ_CP026823.1,"IntegerElement(622, attributes={})"
NZ_CP052118.1,"IntegerElement(305, attributes={})"
NZ_LM651928.1,"IntegerElement(623, attributes={})"
NZ_CP031648.1,"IntegerElement(294, attributes={})"
NZ_CP028899.1,"IntegerElement(40324, attributes={})"
NZ_CP026192.1,"IntegerElement(1920109, attributes={})"
NZ_LR134202.1,"IntegerElement(1463165, attributes={})"
NZ_CP033854.1,"IntegerElement(87883, attributes={})"
NZ_CP028783.1,"IntegerElement(72407, attributes={})"
NZ_CP052106.1,"IntegerElement(305, attributes={})"
NZ_CP052104.1,"IntegerElement(305, attributes={})"
NZ_CP025055.1,"IntegerElement(287, attributes={})"
NZ_CP025056.1,"IntegerElement(287, attributes={})"
NZ_CP048290.1,"IntegerElement(562, attributes={})"
NZ_LR890542.1,"IntegerElement(573, attributes={})"
NZ_CP017188.1,"IntegerElement(1401257, attributes={})"
NC_008060.1,"IntegerElement(331271, attributes={})"
NZ_CP042599.1,"IntegerElement(562, attributes={})"
NZ_CP007786.1,"IntegerElement(292, attributes={})"
NC_012856.1,"IntegerElement(428406, attributes={})"
NZ_CP016162.1,"IntegerElement(741155, attributes={})"
NZ_CP069706.1,"IntegerElement(562, attributes={})"
NZ_LR134221.1,"IntegerElement(562, attributes={})"
NZ_CP060730.1,"IntegerElement(211968, attributes={})"
NZ_CP014659.1,"IntegerElement(1454593, attributes={})"
NZ_CP014621.1,"IntegerElement(1454584, attributes={})"
NZ_CP009448.1,"IntegerElement(562971, attributes={})"
NC_022514.1,"IntegerElement(1366050, attributes={})"
NZ_CP004360.1,"IntegerElement(1296990, attributes={})"
NZ_CP022772.1,"IntegerElement(305, attributes={})"
NZ_CP021749.1,"IntegerElement(2027919, attributes={})"
NZ_CP031606.1,"IntegerElement(253237, attributes={})"
NZ_CP010284.1,"IntegerElement(858307, attributes={})"
NZ_CP056085.1,"IntegerElement(305, attributes={})"
NZ_CP034053.1,"IntegerElement(573, attributes={})"
NZ_CP053582.1,"IntegerElement(41520, attributes={})"
